"","Especie","Registros","GBIF","CBC","Reino","Filo","Clase","Orden","Familia","Género"
"8235","Lozania mutisiana",2,"https://www.gbif.org/species/3075444",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Lacistemataceae","Lozania"
"8236","Lucida lucia",1,"https://www.gbif.org/species/1948844",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Lucida"
"8237","Lucihormetica subcincta",22,"https://www.gbif.org/species/1994565",NA,"Animalia","Arthropoda","Insecta","Blattodea","Blaberidae","Lucihormetica"
"8238","Lucilia cuprina",1,"https://www.gbif.org/species/5063921",NA,"Animalia","Arthropoda","Insecta","Diptera","Calliphoridae","Lucilia"
"8239","Lucilia sericata",17,"https://www.gbif.org/species/5063973",NA,"Animalia","Arthropoda","Insecta","Diptera","Calliphoridae","Lucilia"
"8240","Ludwigia affinis",3,"https://www.gbif.org/species/7322182",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8241","Ludwigia decurrens",4,"https://www.gbif.org/species/5421002",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8242","Ludwigia erecta",4,"https://www.gbif.org/species/5420986",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8243","Ludwigia helminthorrhiza",2,"https://www.gbif.org/species/5545304",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8244","Ludwigia hexapetala",4,"https://www.gbif.org/species/5421040",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8245","Ludwigia hyssopifolia",1,"https://www.gbif.org/species/8924323",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8246","Ludwigia latifolia",1,"https://www.gbif.org/species/5545262",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8247","Ludwigia leptocarpa",2,"https://www.gbif.org/species/5421007",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8248","Ludwigia nervosa",4,"https://www.gbif.org/species/5545213",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8249","Ludwigia octovalvis",14,"https://www.gbif.org/species/5420987",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8250","Ludwigia palustris",3,"https://www.gbif.org/species/5421025",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8251","Ludwigia peploides",27,"https://www.gbif.org/species/5420991",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8252","Ludwigia peruviana",78,"https://www.gbif.org/species/5421024",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8253","Ludwigia repens",1,"https://www.gbif.org/species/5421030",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8254","Ludwigia rigida",2,"https://www.gbif.org/species/5545128",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8255","Ludwigia sedioides",1,"https://www.gbif.org/species/5545123",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia"
"8256","Lueddemannia pescatorei",2,"https://www.gbif.org/species/2837217",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Lueddemannia"
"8257","Luehea seemannii",6,"https://www.gbif.org/species/7149790",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Luehea"
"8258","Luffa aegyptiaca",9,"https://www.gbif.org/species/2874599",NA,"Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Luffa"
"8259","Luffa operculata",3,"https://www.gbif.org/species/2874603",NA,"Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Luffa"
"8260","Lumbricus terrestris",13,"https://www.gbif.org/species/4410657",NA,"Animalia","Annelida","Clitellata","Crassiclitellata","Lumbricidae","Lumbricus"
"8261","Lunania parviflora",1,"https://www.gbif.org/species/3879038",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Lunania"
"8262","Lunaria annua",1,"https://www.gbif.org/species/5373324",NA,"Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Lunaria"
"8263","Lundia corymbifera",10,"https://www.gbif.org/species/5668482",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","Lundia"
"8264","Lundia puberula",1,"https://www.gbif.org/species/5668448",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","Lundia"
"8265","Lundiella columbiensis",1,"https://www.gbif.org/species/7997908",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Miridae","Lundiella"
"8266","Lundiella rubrocunealis",1,"https://www.gbif.org/species/8011257",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Miridae","Lundiella"
"8267","Lunularia cruciata",24,"https://www.gbif.org/species/5286308",NA,"Plantae","Marchantiophyta","Marchantiopsida","Lunulariales","Lunulariaceae","Lunularia"
"8268","Lupinus alipatulus",2,"https://www.gbif.org/species/2964317",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8269","Lupinus alopecuroides",24,"https://www.gbif.org/species/2964638",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8270","Lupinus amandus",26,"https://www.gbif.org/species/2964076",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8271","Lupinus ariste-josephi",4,"https://www.gbif.org/species/3912508",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8272","Lupinus austrohumifusus",2,"https://www.gbif.org/species/3912420",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8273","Lupinus bogotensis",65,"https://www.gbif.org/species/2964150",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8274","Lupinus chipaquensis",12,"https://www.gbif.org/species/2964705",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8275","Lupinus colombiensis",7,"https://www.gbif.org/species/2964352","https://catalogo.biodiversidad.co/file/56dbb5123c16479905cba9f4/summary","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8276","Lupinus crucis-viridis",4,"https://www.gbif.org/species/2963811",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8277","Lupinus gachetensis",3,"https://www.gbif.org/species/2964651",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8278","Lupinus goodspeedii",1,"https://www.gbif.org/species/2964301",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8279","Lupinus guascensis",21,"https://www.gbif.org/species/2964104",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8280","Lupinus hortorum",2,"https://www.gbif.org/species/2964587",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8281","Lupinus humifusus",4,"https://www.gbif.org/species/3910150",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8282","Lupinus interruptus",5,"https://www.gbif.org/species/2964144","https://catalogo.biodiversidad.co/file/56dbb6d23c16479905cba9f5/summary","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8283","Lupinus lanatocarpus",3,"https://www.gbif.org/species/2964593",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8284","Lupinus laudandrus",2,"https://www.gbif.org/species/2964442",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8285","Lupinus melaphyllus",2,"https://www.gbif.org/species/2964654",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8286","Lupinus metensis",1,"https://www.gbif.org/species/2964444",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8287","Lupinus microphyllus",1,"https://www.gbif.org/species/2964353",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8288","Lupinus mirabilis",3,"https://www.gbif.org/species/2964368",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8289","Lupinus monserratensis",11,"https://www.gbif.org/species/2964229",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8290","Lupinus mutabilis",17,"https://www.gbif.org/species/2964711",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8291","Lupinus nanus",1,"https://www.gbif.org/species/2964223",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8292","Lupinus oscar-haughtii",4,"https://www.gbif.org/species/2964656",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8293","Lupinus peruvianus",4,"https://www.gbif.org/species/2963957",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8294","Lupinus protrusus",3,"https://www.gbif.org/species/2964369",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8295","Lupinus pubescens",2,"https://www.gbif.org/species/2964465",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8296","Lupinus pulloviridus",4,"https://www.gbif.org/species/2964239",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8297","Lupinus puracensis",3,"https://www.gbif.org/species/2964133",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8298","Lupinus radiatus",5,"https://www.gbif.org/species/2963995",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8299","Lupinus subcuneatus",3,"https://www.gbif.org/species/2964575",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8300","Lupinus tolimensis",3,"https://www.gbif.org/species/2963821",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8301","Lupinus triananus",14,"https://www.gbif.org/species/2964681",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8302","Lupinus verjonensis",2,"https://www.gbif.org/species/2964232",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8303","Lupinus viduus",7,"https://www.gbif.org/species/2964162",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus"
"8304","Lurocalis rufiventris",41,"https://www.gbif.org/species/2497088",NA,"Animalia","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Lurocalis"
"8305","Lurocalis semitorquatus",15,"https://www.gbif.org/species/2497082",NA,"Animalia","Chordata","Aves","Caprimulgiformes","Caprimulgidae","Lurocalis"
"8306","Luteonectria albida",1,"https://www.gbif.org/species/12207345",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Luteonectria"
"8307","Lutheria splendens",1,"https://www.gbif.org/species/9523461",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Bromeliaceae","Lutheria"
"8308","Luticola goeppertiana",6,"https://www.gbif.org/species/7348585",NA,"Chromista","Ochrophyta","Bacillariophyceae","Naviculales","Diadesmidaceae","Luticola"
"8309","Lutreolina crassicaudata",1,"https://www.gbif.org/species/2439988",NA,"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Lutreolina"
"8310","Lutzomyia gomezi",3,"https://www.gbif.org/species/5088839",NA,"Animalia","Arthropoda","Insecta","Diptera","Psychodidae","Lutzomyia"
"8311","Lutzomyia hartmanni",5,"https://www.gbif.org/species/5089177",NA,"Animalia","Arthropoda","Insecta","Diptera","Psychodidae","Lutzomyia"
"8312","Lutzomyia ignacioi",1,"https://www.gbif.org/species/5088883",NA,"Animalia","Arthropoda","Insecta","Diptera","Psychodidae","Lutzomyia"
"8313","Lutzomyia longipalpis",1,"https://www.gbif.org/species/5089079",NA,"Animalia","Arthropoda","Insecta","Diptera","Psychodidae","Lutzomyia"
"8314","Lutzomyia trinidadensis",3,"https://www.gbif.org/species/5088930",NA,"Animalia","Arthropoda","Insecta","Diptera","Psychodidae","Lutzomyia"
"8315","Luzula gigantea",84,"https://www.gbif.org/species/2700918",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Luzula"
"8316","Luzula peruviana",1,"https://www.gbif.org/species/2700606",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Luzula"
"8317","Luzula racemosa",57,"https://www.gbif.org/species/2700629",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Luzula"
"8318","Luzula vulcanica",8,"https://www.gbif.org/species/2701035",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Luzula"
"8319","Lycaena cyna",4,"https://www.gbif.org/species/5139578",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena"
"8320","Lycas argentea",7,"https://www.gbif.org/species/1948536",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Lycas"
"8321","Lycaste macrophylla",1,"https://www.gbif.org/species/5313430","https://catalogo.biodiversidad.co/file/56e7401383c45700544e3f66/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Lycaste"
"8322","Lychnacris luctuosa",1,"https://www.gbif.org/species/7357614",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Lampyridae","Lychnacris"
"8323","Lycianthes acutifolia",29,"https://www.gbif.org/species/3800364",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Lycianthes"
"8324","Lycianthes amatitlanensis",5,"https://www.gbif.org/species/3800346",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Lycianthes"
"8325","Lycianthes cundinamarcae",4,"https://www.gbif.org/species/7299674",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Lycianthes"
"8326","Lycianthes dendriticothrix",1,"https://www.gbif.org/species/3799947",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Lycianthes"
"8327","Lycianthes ferruginea",2,"https://www.gbif.org/species/7299653",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Lycianthes"
"8328","Lycianthes lycioides",162,"https://www.gbif.org/species/7299577","https://catalogo.biodiversidad.co/file/56e78a9483c45700544e4106/summary","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Lycianthes"
"8329","Lycianthes magdalenae",1,"https://www.gbif.org/species/3799363",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Lycianthes"
"8330","Lycianthes pauciflora",8,"https://www.gbif.org/species/7299532",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Lycianthes"
"8331","Lycianthes radiata",88,"https://www.gbif.org/species/3799036",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Lycianthes"
"8332","Lycianthes rantonnetii",13,"https://www.gbif.org/species/3799026",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Lycianthes"
"8333","Lycidola flavofasciata",4,"https://www.gbif.org/species/1153290",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Lycidola"
"8334","Lycogala epidendrum",8,"https://www.gbif.org/species/3213482",NA,"Protozoa","Mycetozoa","Myxomycetes","Cribrariales","Tubiferaceae","Lycogala"
"8335","Lycomedes ramosus",1,"https://www.gbif.org/species/4994731",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Lycomedes"
"8336","Lycoperdon dermoxanthum",1,"https://www.gbif.org/species/5243267",NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Lycoperdon"
"8337","Lycoperdon fuligineum",1,"https://www.gbif.org/species/5243273",NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Lycoperdon"
"8338","Lycoperdon perlatum",9,"https://www.gbif.org/species/5243258",NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Lycoperdon"
"8339","Lycopersicum esculentum",3,"https://www.gbif.org/species/3801770",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum"
"8340","Lycopodiella alopecuroides",12,"https://www.gbif.org/species/2688363",NA,"Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Lycopodiella"
"8341","Lycopodiella longipes",3,"https://www.gbif.org/species/3991024",NA,"Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Lycopodiella"
"8342","Lycopodiella matthewsii",10,"https://www.gbif.org/species/8317497",NA,"Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Lycopodiella"
"8343","Lycopodium clavatum",472,"https://www.gbif.org/species/2688393","https://catalogo.biodiversidad.co/file/56e7455483c45700544e3f6e/summary","Plantae","Tracheophyta","Lycopodiopsida","Lycopodiales","Lycopodiaceae","Lycopodium"
"8344","Lycorea cleobaea",15,"https://www.gbif.org/species/5133565",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lycorea"
"8345","Lycorea ilione",5,"https://www.gbif.org/species/10558140",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lycorea"
"8346","Lycosa horrida",6,"https://www.gbif.org/species/5169175",NA,"Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","Lycosa"
"8347","Lycosa niceforoi",4,"https://www.gbif.org/species/5169294",NA,"Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","Lycosa"
"8348","Lycosa nigromarmorata",1,"https://www.gbif.org/species/5169189",NA,"Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","Lycosa"
"8349","Lycosa thorelli",5,"https://www.gbif.org/species/5169363",NA,"Animalia","Arthropoda","Arachnida","Araneae","Lycosidae","Lycosa"
"8350","Lycoseris crocata",3,"https://www.gbif.org/species/3093130",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Lycoseris"
"8351","Lycoseris mexicana",28,"https://www.gbif.org/species/3093133",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Lycoseris"
"8352","Lygaeus ashlocki",1,"https://www.gbif.org/species/8727709",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae","Lygaeus"
"8353","Lygaeus inaequalis",1,"https://www.gbif.org/species/11010996",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae","Lygaeus"
"8354","Lygodium venustum",12,"https://www.gbif.org/species/2650437",NA,"Plantae","Tracheophyta","Polypodiopsida","Schizaeales","Lygodiaceae","Lygodium"
"8355","Lygophis lineatus",4,"https://www.gbif.org/species/7963317","https://catalogo.biodiversidad.co/file/56cd359c207ecea54a561e72/summary","Animalia","Chordata","Squamata",NA,"Colubridae","Lygophis"
"8356","Lymanopoda albocincta",4,"https://www.gbif.org/species/1917902",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lymanopoda"
"8357","Lymanopoda altis",1,"https://www.gbif.org/species/1917957",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lymanopoda"
"8358","Lymanopoda excisa",17,"https://www.gbif.org/species/1917954",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lymanopoda"
"8359","Lymanopoda labda",13,"https://www.gbif.org/species/1917920",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lymanopoda"
"8360","Lymanopoda lactea",7,"https://www.gbif.org/species/1917897",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lymanopoda"
"8361","Lymanopoda maletera",1,"https://www.gbif.org/species/1917900",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lymanopoda"
"8362","Lymanopoda nivea",4,"https://www.gbif.org/species/1917943",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lymanopoda"
"8363","Lymanopoda obsoleta",13,"https://www.gbif.org/species/1917909",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lymanopoda"
"8364","Lymanopoda panacea",4,"https://www.gbif.org/species/1917914",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lymanopoda"
"8365","Lymanopoda samius",16,"https://www.gbif.org/species/1917905",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lymanopoda"
"8366","Lymanopoda viventieni",12,"https://www.gbif.org/species/10498787",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lymanopoda"
"8367","Lyomyces crustosus",4,"https://www.gbif.org/species/5237636",NA,"Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Lyomyces"
"8368","Lyomyces juniperi",1,"https://www.gbif.org/species/9359867",NA,"Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Lyomyces"
"8369","Lysimachia arvensis",50,"https://www.gbif.org/species/8184903",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Lysimachia"
"8370","Lysimachia foemina",3,"https://www.gbif.org/species/8368021",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Lysimachia"
"8371","Lysimachia loeflingii",2,"https://www.gbif.org/species/11465627",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Lysimachia"
"8372","Lysimachia ovalis",3,"https://www.gbif.org/species/7932640",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","Lysimachia"
"8373","Lysinibacillus sphaericus",2,"https://www.gbif.org/species/8185611",NA,"Bacteria","Firmicutes","Bacilli","Bacillales_A","Planococcaceae","Lysinibacillus"
"8374","Lysipomia laciniata",39,"https://www.gbif.org/species/3166049","https://catalogo.biodiversidad.co/file/56de197783c45700544e3bfe/summary","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Lysipomia"
"8375","Lysipomia muscoides",19,"https://www.gbif.org/species/3166072","https://catalogo.biodiversidad.co/file/56de1b8a83c45700544e3c00/summary","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Lysipomia"
"8376","Lysipomia oblinqua",1,"https://www.gbif.org/species/3880883",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Lysipomia"
"8377","Lysipomia sphagnophila",15,"https://www.gbif.org/species/3166086",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Lysipomia"
"8378","Lythrum maritimum",11,"https://www.gbif.org/species/3188746",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","Lythrum"
"8379","Mabea macbridei",5,"https://www.gbif.org/species/3071847",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Mabea"
"8380","Mabea montana",3,"https://www.gbif.org/species/3071750",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Mabea"
"8381","Mabea occidentalis",6,"https://www.gbif.org/species/3071832",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Mabea"
"8382","Mabea piriri",3,"https://www.gbif.org/species/3071818",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Mabea"
"8383","Mabea trianae",3,"https://www.gbif.org/species/3071783",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Mabea"
"8384","Macadamia integrifolia",1,"https://www.gbif.org/species/2891785",NA,"Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae","Macadamia"
"8385","Machaerium biovulatum",5,"https://www.gbif.org/species/5355033",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"8386","Machaerium capote",96,"https://www.gbif.org/species/5354954",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"8387","Machaerium cuspidatum",1,"https://www.gbif.org/species/5355114",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"8388","Machaerium goudotii",6,"https://www.gbif.org/species/5355105",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"8389","Machaerium hirtum",7,"https://www.gbif.org/species/5354979",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"8390","Machaerium inundatum",2,"https://www.gbif.org/species/5355050",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"8391","Machaerium isadelphum",2,"https://www.gbif.org/species/5354969",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"8392","Machaerium leiophyllum",11,"https://www.gbif.org/species/5354986",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"8393","Machaerium moritzianum",1,"https://www.gbif.org/species/5355008",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"8394","Machaerium mutisii",1,"https://www.gbif.org/species/5354946",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"8395","Machaerium tolimense",1,"https://www.gbif.org/species/5355062",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"8396","Machaerium uribei",1,"https://www.gbif.org/species/5355021",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"8397","Machaeropterus striolatus",111,"https://www.gbif.org/species/6101077",NA,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Machaeropterus"
"8398","Machaonia acuminata",5,"https://www.gbif.org/species/2907948",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Machaonia"
"8399","Machaonia ottonis",8,"https://www.gbif.org/species/2907932",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Machaonia"
"8400","Machetornis rixosa",3171,"https://www.gbif.org/species/2482934","https://catalogo.biodiversidad.co/file/56c7c4dcf0106c67230e7419/summary","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Machetornis"
"8401","Macleania macrantha",3,"https://www.gbif.org/species/4170672",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Macleania"
"8402","Macleania pubiflora",2,"https://www.gbif.org/species/4170471","https://catalogo.biodiversidad.co/file/61c60b72281ef1e25f8ff5fc/summary","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Macleania"
"8403","Macleania rupestris",786,"https://www.gbif.org/species/4170327","https://catalogo.biodiversidad.co/file/5fe37672bc54e0327e1b1737/summary","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Macleania"
"8404","Macleania stricta",1,"https://www.gbif.org/species/4170250",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Macleania"
