"","Especie","Registros","GBIF","CBC","Reino","Filo","Clase","Orden","Familia","Género"
"6282","Machaerium biovulatum",4,"https://www.gbif.org/species/5355033",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"6283","Machaerium cuspidatum",1,"https://www.gbif.org/species/5355114",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"6284","Machaerium goudotii",5,"https://www.gbif.org/species/5355105",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"6285","Machaerium humboldtianum",3,"https://www.gbif.org/species/5354907",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"6286","Machaerium isadelphum",2,"https://www.gbif.org/species/5354969",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"6287","Machaerium leiophyllum",4,"https://www.gbif.org/species/5354986",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"6288","Machaerium parvifolium",1,"https://www.gbif.org/species/5355057",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Machaerium"
"6289","Machaeropterus striolatus",590,"https://www.gbif.org/species/6101077",NA,"Animalia","Chordata","Aves","Passeriformes","Pipridae","Machaeropterus"
"6290","Machetornis rixosa",802,"https://www.gbif.org/species/2482934","https://catalogo.biodiversidad.co/file/56c7c4dcf0106c67230e7419/summary","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Machetornis"
"6291","Macleania pubiflora",14,"https://www.gbif.org/species/4170471","https://catalogo.biodiversidad.co/file/61c60b72281ef1e25f8ff5fc/summary","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Macleania"
"6292","Macleania rupestris",887,"https://www.gbif.org/species/4170327","https://catalogo.biodiversidad.co/file/5fe37672bc54e0327e1b1737/summary","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Macleania"
"6293","Maclura tinctoria",4,"https://www.gbif.org/species/2984583","https://catalogo.biodiversidad.co/file/595fc3bc2f4fd7bc7f3a2fbb/summary","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","Maclura"
"6294","Macraspis bouchardi",1,"https://www.gbif.org/species/6281898",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Macraspis"
"6295","Macraspis chrysis",5,"https://www.gbif.org/species/5990476",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Macraspis"
"6296","Macraspis jamesi",1,"https://www.gbif.org/species/6281861",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Macraspis"
"6297","Macroagelaius subalaris",332,"https://www.gbif.org/species/2484179",NA,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Macroagelaius"
"6298","Macrobrachium brasiliense",1,"https://www.gbif.org/species/2224644",NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Macrobrachium"
"6299","Macrocarpaea glabra",33,"https://www.gbif.org/species/3840682",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","Macrocarpaea"
"6300","Macrocarpaea lacrossiformis",1,"https://www.gbif.org/species/3840480",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","Macrocarpaea"
"6301","Macrocarpaea macrophylla",1,"https://www.gbif.org/species/3840383",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","Macrocarpaea"
"6302","Macrocarpaea umerulus",2,"https://www.gbif.org/species/3839820",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","Macrocarpaea"
"6303","Macrocnemum grandiflorum",1,"https://www.gbif.org/species/2895632",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Macrocnemum"
"6304","Macrocoma frigida",2,"https://www.gbif.org/species/5281177",NA,"Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","Macrocoma"
"6305","Macrocoma tenuis",8,"https://www.gbif.org/species/5281178",NA,"Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","Macrocoma"
"6306","Macrodactylus sulphureus",1,"https://www.gbif.org/species/1050763",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Macrodactylus"
"6307","Macrodactylus tenuilineatus",3,"https://www.gbif.org/species/1050863",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Macrodactylus"
"6308","Macrolepiota colombiana",5,"https://www.gbif.org/species/3339767",NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Macrolepiota"
"6309","Macrolobium colombianum",2,"https://www.gbif.org/species/2948831",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Macrolobium"
"6310","Macromitrium aureum",6,"https://www.gbif.org/species/2672133",NA,"Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","Macromitrium"
"6311","Macromitrium cirrosum",9,"https://www.gbif.org/species/2672392",NA,"Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","Macromitrium"
"6312","Macromitrium guatemalense",11,"https://www.gbif.org/species/2672115",NA,"Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","Macromitrium"
"6313","Macromitrium longifolium",45,"https://www.gbif.org/species/2672263",NA,"Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","Macromitrium"
"6314","Macromitrium oblongum",1,"https://www.gbif.org/species/2672205",NA,"Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","Macromitrium"
"6315","Macromitrium punctatum",9,"https://www.gbif.org/species/2672280",NA,"Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","Macromitrium"
"6316","Macromitrium scoparium",2,"https://www.gbif.org/species/2672129",NA,"Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","Macromitrium"
"6317","Macronectria jungneri",1,"https://www.gbif.org/species/9804285",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Macronectria"
"6318","Macropsychanthus malacocarpus",3,"https://www.gbif.org/species/11001304",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Macropsychanthus"
"6319","Macropsychanthus pulcher",10,"https://www.gbif.org/species/11371480",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Macropsychanthus"
"6320","Macroptilium atropurpureum",4,"https://www.gbif.org/species/2945047",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Macroptilium"
"6321","Macroptilium gracile",3,"https://www.gbif.org/species/2945054",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Macroptilium"
"6322","Macroptilium lathyroides",3,"https://www.gbif.org/species/2945063",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Macroptilium"
"6323","Macroscepis hirsuta",3,"https://www.gbif.org/species/3579340",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Macroscepis"
"6324","Macrosiphum rosae",1,"https://www.gbif.org/species/2077659",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","Macrosiphum"
"6325","Macrothelypteris torresiana",2,"https://www.gbif.org/species/2651340",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Thelypteridaceae","Macrothelypteris"
"6326","Magneuptychia libye",12,"https://www.gbif.org/species/1901744",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Magneuptychia"
"6327","Magnolia arcabucoana",5,"https://www.gbif.org/species/3153767","https://catalogo.biodiversidad.co/file/5661f9186752b5394179b668/summary","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae","Magnolia"
"6328","Magnolia argyrothricha",9,"https://www.gbif.org/species/3153721","https://catalogo.biodiversidad.co/file/566ef930f289f5a40c0cd26a/summary","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae","Magnolia"
"6329","Magnolia georgii",11,"https://www.gbif.org/species/3153094","https://catalogo.biodiversidad.co/file/566f52bcf289f5a40c0cd27f/summary","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae","Magnolia"
"6330","Magnolia resupinatifolia",3,"https://www.gbif.org/species/10759341",NA,"Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae","Magnolia"
"6331","Magnolia virolinensis",1,"https://www.gbif.org/species/3153158","https://catalogo.biodiversidad.co/file/56702b06f289f5a40c0cd2a3/summary","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae","Magnolia"
"6332","Malachra alceifolia",5,"https://www.gbif.org/species/3152767","https://catalogo.biodiversidad.co/file/595fc5b02f4fd7bc7f3a3072/summary","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Malachra"
"6333","Malachra rudis",5,"https://www.gbif.org/species/3935898","https://catalogo.biodiversidad.co/file/594dd65a2f4fd7bc7f39980a/summary","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Malachra"
"6334","Malacoptila mystacalis",247,"https://www.gbif.org/species/2475142",NA,"Animalia","Chordata","Aves","Piciformes","Bucconidae","Malacoptila"
"6335","Malacoptila panamensis",65,"https://www.gbif.org/species/2475147",NA,"Animalia","Chordata","Aves","Piciformes","Bucconidae","Malacoptila"
"6336","Malaxis fastigiata",9,"https://www.gbif.org/species/2807782",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Malaxis"
"6337","Malaxis histionantha",1,"https://www.gbif.org/species/2807950",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Malaxis"
"6338","Malaxis moritzii",4,"https://www.gbif.org/species/2808262",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Malaxis"
"6339","Malmidea granifera",4,"https://www.gbif.org/species/6755214",NA,"Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Malmideaceae","Malmidea"
"6340","Malus domestica",3,"https://www.gbif.org/species/3001244",NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Malus"
"6341","Malus pumila",1,NA,NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Malus"
"6342","Malva arborea",1,"https://www.gbif.org/species/3935079",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Malva"
"6343","Malva assurgentiflora",3,"https://www.gbif.org/species/3935047",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Malva"
"6344","Malva nicaeensis",4,"https://www.gbif.org/species/3152367",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Malva"
"6345","Malva parviflora",10,"https://www.gbif.org/species/3152378",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Malva"
"6346","Malva pusilla",1,"https://www.gbif.org/species/3152372",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Malva"
"6347","Malva sylvestris",1,"https://www.gbif.org/species/3152374",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Malva"
"6348","Malvastrum americanum",23,"https://www.gbif.org/species/3152264",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Malvastrum"
"6349","Malvastrum coromandelianum",6,"https://www.gbif.org/species/3152268",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Malvastrum"
"6350","Malvaviscus arboreus",3,"https://www.gbif.org/species/3152775","https://catalogo.biodiversidad.co/file/595fc8022f4fd7bc7f3a3116/summary","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Malvaviscus"
"6351","Malvaviscus concinnus",2,"https://www.gbif.org/species/3937390",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Malvaviscus"
"6352","Mammea americana",1,"https://www.gbif.org/species/3189421","https://catalogo.biodiversidad.co/file/56e78b0f83c45700544e4111/summary","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Calophyllaceae","Mammea"
"6353","Mammillaria columbiana",22,"https://www.gbif.org/species/7281020","https://catalogo.biodiversidad.co/file/5fedeabc57c1f62810d0a6d4/summary","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Mammillaria"
"6354","Mammillaria mamillaria",1,"https://www.gbif.org/species/7902633",NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Mammillaria"
"6355","Mammillaria mammillaris",2,"https://www.gbif.org/species/5626105",NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Mammillaria"
"6356","Manacus manacus",1577,"https://www.gbif.org/species/2487672","https://catalogo.biodiversidad.co/file/56e3303883c45700544e3daf/summary","Animalia","Chordata","Aves","Passeriformes","Pipridae","Manacus"
"6357","Manataria hercyna",1,"https://www.gbif.org/species/1911933",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Manataria"
"6358","Manataria maculata",5,"https://www.gbif.org/species/1911939",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Manataria"
"6359","Mandevilla bracteata",1,"https://www.gbif.org/species/3618864",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Mandevilla"
"6360","Mandevilla callista",16,"https://www.gbif.org/species/3618769",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Mandevilla"
"6361","Mandevilla hirsuta",17,"https://www.gbif.org/species/3169659",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Mandevilla"
"6362","Mandevilla longipes",3,"https://www.gbif.org/species/3617405",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Mandevilla"
"6363","Mandevilla mollissima",5,"https://www.gbif.org/species/3617095",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Mandevilla"
"6364","Mandevilla scabra",4,"https://www.gbif.org/species/3616220",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Mandevilla"
"6365","Mandevilla schlimii",3,"https://www.gbif.org/species/3616204",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Mandevilla"
"6366","Mandevilla speciosa",5,"https://www.gbif.org/species/3616079",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Mandevilla"
"6367","Mandevilla subsagittata",6,"https://www.gbif.org/species/3169662",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Mandevilla"
"6368","Mandevilla veraguasensis",11,"https://www.gbif.org/species/7779442",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Mandevilla"
"6369","Mandevilla veraguensis",1,"https://www.gbif.org/species/3615207",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Mandevilla"
"6370","Mandevilla xerophytica",4,"https://www.gbif.org/species/3615113",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Mandevilla"
"6371","Manerebia bernito",4,"https://www.gbif.org/species/11128297",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Manerebia"
"6372","Manettia caliana",1,"https://www.gbif.org/species/5338397",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Manettia"
"6373","Manettia calycosa",12,"https://www.gbif.org/species/5338382",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Manettia"
"6374","Manettia coccinea",2,"https://www.gbif.org/species/3741087",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Manettia"
"6375","Manettia coccocypseloides",3,"https://www.gbif.org/species/5338345",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Manettia"
"6376","Manettia lehmannii",1,"https://www.gbif.org/species/5338468",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Manettia"
"6377","Manettia reclinata",4,"https://www.gbif.org/species/5338365",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Manettia"
"6378","Manettia sabiceoides",1,"https://www.gbif.org/species/5338474",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Manettia"
"6379","Manettia sararensis",1,"https://www.gbif.org/species/5338389",NA,"Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Manettia"
"6380","Mangifera indica",5,"https://www.gbif.org/species/3190638","https://catalogo.biodiversidad.co/file/56e78b3b83c45700544e4113/summary","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","Mangifera"
"6381","Mangora boyaca",1,"https://www.gbif.org/species/6719027",NA,"Animalia","Arthropoda","Arachnida","Araneae","Araneidae","Mangora"
"6382","Manihot brachyloba",5,"https://www.gbif.org/species/3061115",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Manihot"
"6383","Manihot esculenta",256,"https://www.gbif.org/species/3060998","https://catalogo.biodiversidad.co/file/5949e98a2f4fd7bc7f3981d1/summary","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Manihot"
"6384","Manopus biguttatus",54,"https://www.gbif.org/species/1060271",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Manopus"
"6385","Mansonia humeralis",1,"https://www.gbif.org/species/5089872",NA,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Mansonia"
"6386","Maprounea guianensis",13,"https://www.gbif.org/species/3054658","https://catalogo.biodiversidad.co/file/595fcf802f4fd7bc7f3a3279/summary","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Maprounea"
"6387","Maquira coriacea",1,"https://www.gbif.org/species/3763724",NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","Maquira"
"6388","Maraenobiotus wellsi",1,"https://www.gbif.org/species/11370754",NA,"Animalia","Arthropoda","Copepoda","Harpacticoida","Canthocamptidae","Maraenobiotus"
"6389","Maranta gibba",5,"https://www.gbif.org/species/2761346",NA,"Plantae","Tracheophyta","Liliopsida","Zingiberales","Marantaceae","Maranta"
"6390","Marasmius cundinamarcae",1,"https://www.gbif.org/species/3322756",NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius"
"6391","Marcgravia oblongifolia",1,"https://www.gbif.org/species/5614647",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Marcgraviaceae","Marcgravia"
"6392","Marcgravia rectiflora",1,"https://www.gbif.org/species/5421053",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Marcgraviaceae","Marcgravia"
"6393","Marcgraviastrum macrocarpum",5,"https://www.gbif.org/species/3916121",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Marcgraviaceae","Marcgraviastrum"
"6394","Marcgraviastrum mixtum",9,"https://www.gbif.org/species/3916113",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Marcgraviaceae","Marcgraviastrum"
"6395","Marcgraviastrum vogelii",2,"https://www.gbif.org/species/3916075",NA,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Marcgraviaceae","Marcgraviastrum"
"6396","Marchantia berteroana",7,"https://www.gbif.org/species/2688572",NA,"Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","Marchantia"
"6397","Marchantia breviloba",14,"https://www.gbif.org/species/7870578",NA,"Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","Marchantia"
"6398","Marchantia chenopoda",9,"https://www.gbif.org/species/7371533",NA,"Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","Marchantia"
"6399","Marchantia plicata",11,"https://www.gbif.org/species/8295816",NA,"Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","Marchantia"
"6400","Marchantia polymorpha",13,"https://www.gbif.org/species/2688570",NA,"Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","Marchantia"
"6401","Marchesinia brachiata",8,"https://www.gbif.org/species/7426376",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Porellales","Lejeuneaceae","Marchesinia"
"6402","Margaritaria nobilis",10,"https://www.gbif.org/species/5383279",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","Margaritaria"
"6403","Margarornis squamiger",262,"https://www.gbif.org/species/2485847","https://catalogo.biodiversidad.co/file/56c7c117f0106c67230e7416/summary","Animalia","Chordata","Aves","Passeriformes","Furnariidae","Margarornis"
"6404","Margyricarpus pinnatus",4,"https://www.gbif.org/species/3030248","https://catalogo.biodiversidad.co/file/56e78baa83c45700544e411c/summary","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Margyricarpus"
"6405","Mariannaea samuelsii",1,"https://www.gbif.org/species/7384582",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Mariannaea"
"6406","Maripa nicaraguensis",1,"https://www.gbif.org/species/5549225",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","Maripa"
"6407","Maripa panamensis",4,"https://www.gbif.org/species/5549221",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","Maripa"
"6408","Maripa williamsii",1,"https://www.gbif.org/species/5549180",NA,"Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","Maripa"
"6409","Marmosa isthmica",19,"https://www.gbif.org/species/10748731","https://catalogo.biodiversidad.co/file/59af10e51582a31515e9814c/summary","Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Marmosa"
"6410","Marmosa lepida",1,"https://www.gbif.org/species/2439871",NA,"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Marmosa"
"6411","Marmosa robinsoni",1,"https://www.gbif.org/species/2439862",NA,"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Marmosa"
"6412","Marmosops magdalenae",3,"https://www.gbif.org/species/11130407",NA,"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Marmosops"
"6413","Marpesia berania",2,"https://www.gbif.org/species/5133635",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Marpesia"
"6414","Marpesia chiron",3,"https://www.gbif.org/species/5133595",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Marpesia"
"6415","Marpesia corinna",5,"https://www.gbif.org/species/5133611",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Marpesia"
"6416","Marpesia crethon",2,"https://www.gbif.org/species/5133622",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Marpesia"
"6417","Marpesia livius",1,"https://www.gbif.org/species/5133597",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Marpesia"
"6418","Marpesia marcella",6,"https://www.gbif.org/species/5133634",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Marpesia"
"6419","Marpesia merops",4,"https://www.gbif.org/species/5133609",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Marpesia"
"6420","Marpesia zerynthia",6,"https://www.gbif.org/species/9219529",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Marpesia"
"6421","Marrubium vulgare",4,"https://www.gbif.org/species/2927069",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Marrubium"
"6422","Marsypianthes chamaedrys",3,"https://www.gbif.org/species/2926970",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Marsypianthes"
"6423","Marthamyces quadrifidus",1,"https://www.gbif.org/species/2579039",NA,"Fungi","Ascomycota","Leotiomycetes","Chaetomellales","Marthamycetaceae","Marthamyces"
"6424","Martinella obovata",4,"https://www.gbif.org/species/5415078",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","Martinella"
"6425","Maruina chaborra",2,"https://www.gbif.org/species/1642070",NA,"Animalia","Arthropoda","Insecta","Diptera","Psychodidae","Maruina"
"6426","Mascagnia dissimilis",5,"https://www.gbif.org/species/3983738",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Malpighiaceae","Mascagnia"
"6427","Masdevallia aenigma",2,"https://www.gbif.org/species/2848530","https://catalogo.biodiversidad.co/file/56e763e883c45700544e3fc7/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6428","Masdevallia amanda",5,"https://www.gbif.org/species/2848003","https://catalogo.biodiversidad.co/file/56e76cae83c45700544e3fe8/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6429","Masdevallia ampullacea",1,"https://www.gbif.org/species/2849066",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6430","Masdevallia arminii",3,"https://www.gbif.org/species/2848443","https://catalogo.biodiversidad.co/file/56e775ed83c45700544e4012/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6431","Masdevallia bicolor",3,"https://www.gbif.org/species/2848833","https://catalogo.biodiversidad.co/file/56e7781583c45700544e401d/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6432","Masdevallia campyloglossa",1,"https://www.gbif.org/species/2848801","https://catalogo.biodiversidad.co/file/56e7862983c45700544e40bb/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6433","Masdevallia caudata",2,"https://www.gbif.org/species/2848414","https://catalogo.biodiversidad.co/file/56e7866083c45700544e40be/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6434","Masdevallia coccinea",33,"https://www.gbif.org/species/2848856","https://catalogo.biodiversidad.co/file/56e786db83c45700544e40ca/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6435","Masdevallia coriacea",17,"https://www.gbif.org/species/2848467","https://catalogo.biodiversidad.co/file/56e7870583c45700544e40cc/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6436","Masdevallia corniculata",6,"https://www.gbif.org/species/2848430","https://catalogo.biodiversidad.co/file/56e7875183c45700544e40d2/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6437","Masdevallia cucullata",1,"https://www.gbif.org/species/2848192","https://catalogo.biodiversidad.co/file/56e7877783c45700544e40d4/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6438","Masdevallia discolor",3,"https://www.gbif.org/species/2848509","https://catalogo.biodiversidad.co/file/56e787a783c45700544e40d6/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6439","Masdevallia encephala",1,"https://www.gbif.org/species/2848894","https://catalogo.biodiversidad.co/file/56e787d283c45700544e40d9/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6440","Masdevallia estradae",4,"https://www.gbif.org/species/2848661","https://catalogo.biodiversidad.co/file/56e7882583c45700544e40de/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
"6441","Masdevallia ignea",6,"https://www.gbif.org/species/2848054","https://catalogo.biodiversidad.co/file/5b5b3ebaf0d3bfe03057451a/summary","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Masdevallia"
